| time |   in   |load |address |  out   |
| 0+   |      0 |  0  |     0  |      0 |
| 1    |      0 |  0  |     0  |      0 |
| 1+   |      0 |  1  |     0  |      0 |
| 2    |      0 |  1  |     0  |      0 |
| 2+   |   1111 |  0  |     0  |      0 |
| 3    |   1111 |  0  |     0  |      0 |
| 3+   |   1111 |  1  |  1111  |      0 |
| 4    |   1111 |  1  |  1111  |   1111 |
| 4+   |   1111 |  0  |     0  |      0 |
| 5    |   1111 |  0  |     0  |      0 |
| 5+   |   3513 |  0  |  3513  |      0 |
| 6    |   3513 |  0  |  3513  |      0 |
| 6+   |   3513 |  1  |  3513  |      0 |
| 7    |   3513 |  1  |  3513  |   3513 |
| 7+   |   3513 |  0  |  3513  |   3513 |
| 8    |   3513 |  0  |  3513  |   3513 |
| 8    |   3513 |  0  |  1111  |   1111 |
| 8+   |   4095 |  0  |  1111  |   1111 |
| 9    |   4095 |  0  |  1111  |   1111 |
| 9+   |   4095 |  1  |  4095  |      0 |
| 10   |   4095 |  1  |  4095  |   4095 |
| 10+  |   4095 |  0  |  4095  |   4095 |
| 11   |   4095 |  0  |  4095  |   4095 |
| 11   |   4095 |  0  |  3513  |   3513 |
| 11   |   4095 |  0  |  4095  |   4095 |
| 11+  |   4095 |  0  |  2728  |      0 |
| 12   |   4095 |  0  |  2728  |      0 |
| 12   |   4095 |  0  |  2729  |      0 |
| 12   |   4095 |  0  |  2730  |      0 |
| 12   |   4095 |  0  |  2731  |      0 |
| 12   |   4095 |  0  |  2732  |      0 |
| 12   |   4095 |  0  |  2733  |      0 |
| 12   |   4095 |  0  |  2734  |      0 |
| 12   |   4095 |  0  |  2735  |      0 |
| 12+  |  21845 |  1  |  2728  |      0 |
| 13   |  21845 |  1  |  2728  |  21845 |
| 13+  |  21845 |  1  |  2729  |      0 |
| 14   |  21845 |  1  |  2729  |  21845 |
| 14+  |  21845 |  1  |  2730  |      0 |
| 15   |  21845 |  1  |  2730  |  21845 |
| 15+  |  21845 |  1  |  2731  |      0 |
| 16   |  21845 |  1  |  2731  |  21845 |
| 16+  |  21845 |  1  |  2732  |      0 |
| 17   |  21845 |  1  |  2732  |  21845 |
| 17+  |  21845 |  1  |  2733  |      0 |
| 18   |  21845 |  1  |  2733  |  21845 |
| 18+  |  21845 |  1  |  2734  |      0 |
| 19   |  21845 |  1  |  2734  |  21845 |
| 19+  |  21845 |  1  |  2735  |      0 |
| 20   |  21845 |  1  |  2735  |  21845 |
| 20+  |  21845 |  0  |  2728  |  21845 |
| 21   |  21845 |  0  |  2728  |  21845 |
| 21   |  21845 |  0  |  2729  |  21845 |
| 21   |  21845 |  0  |  2730  |  21845 |
| 21   |  21845 |  0  |  2731  |  21845 |
| 21   |  21845 |  0  |  2732  |  21845 |
| 21   |  21845 |  0  |  2733  |  21845 |
| 21   |  21845 |  0  |  2734  |  21845 |
| 21   |  21845 |  0  |  2735  |  21845 |
| 21+  | -21846 |  1  |  2728  |  21845 |
| 22   | -21846 |  1  |  2728  | -21846 |
| 22+  | -21846 |  0  |  2728  | -21846 |
| 23   | -21846 |  0  |  2728  | -21846 |
| 23   | -21846 |  0  |  2729  |  21845 |
| 23   | -21846 |  0  |  2730  |  21845 |
| 23   | -21846 |  0  |  2731  |  21845 |
| 23   | -21846 |  0  |  2732  |  21845 |
| 23   | -21846 |  0  |  2733  |  21845 |
| 23   | -21846 |  0  |  2734  |  21845 |
| 23   | -21846 |  0  |  2735  |  21845 |
| 23+  |  21845 |  1  |  2728  | -21846 |
| 24   |  21845 |  1  |  2728  |  21845 |
| 24+  | -21846 |  1  |  2729  |  21845 |
| 25   | -21846 |  1  |  2729  | -21846 |
| 25+  | -21846 |  0  |  2728  |  21845 |
| 26   | -21846 |  0  |  2728  |  21845 |
